collo_1,collo_2,MI,Xsq,Gsq,count,src,timestep
？,臺灣,0.3854886005393362,1.8842960185189792,1.7183783058819841,26,ptt,7
REMOVEDURL,臺灣,0.39419870556564723,1.362730077551552,1.2398792096836289,18,ptt,7
！,臺灣,0.45293253035611347,1.2005270676081492,1.0761434935413954,12,ptt,7
沒有,臺灣,0.2757561681967608,0.5167892804561524,0.4841426807220781,14,ptt,7
有,臺灣,-0.20839092753370636,-0.570787002294173,-0.59793772664732,27,ptt,7
.,臺灣,-0.5605915916714037,-2.31533639055336,-2.6108978822881515,15,ptt,7
你,臺灣,-0.82312202438401,-3.7119362713532067,-4.404074478795877,11,ptt,7
的,臺灣,-0.28247587148942976,-4.988919137157536,-5.301966847152919,125,ptt,7
、,臺灣,-0.9335498040061959,-8.78299521940754,-10.627402865040544,20,ptt,7
就,臺灣,-1.3575476029546918,-9.625267379308445,-12.528030625683186,10,ptt,7
臺灣,人,4.029680336487214,4895.472249277948,1295.714844858623,337,ptt,7
臺灣,價值,6.567266527159112,12319.011199906628,1017.0925775267397,132,ptt,7
臺灣,海峽,7.066080027122816,7694.913781492985,504.5641883066534,58,ptt,7
臺灣,的,1.5026582333763754,538.160622105369,364.76195950794056,437,ptt,7
臺灣,黑熊,7.021167605247242,2956.3389523575206,197.62158701880094,23,ptt,7
臺灣,人民,4.502065297380929,749.2717999887828,159.92888229647735,36,ptt,7
臺灣,防疫,3.6535721930426215,482.6039293603262,147.84807727334214,45,ptt,7
臺灣,購買,5.291663748634376,785.0459660064774,117.34046447427866,21,ptt,7
臺灣,獨立,4.991965601130478,540.0858275929905,92.56260536496382,18,ptt,7
臺灣,IU,6.879034755826253,1279.167324747647,91.16358677339713,11,ptt,7
臺灣,社會,3.681469841590415,285.13199166389785,86.29567676903177,26,ptt,7
臺灣,經濟,3.8818057445464795,309.04576745811863,86.06681536435514,24,ptt,7
臺灣,安全,3.6210562208330406,219.2458942031918,68.00613306690099,21,ptt,7
臺灣,民主,3.5145787277939426,181.7620762152709,58.86928790131566,19,ptt,7
臺灣,本土,4.445138229296093,239.151510086732,52.2947841982255,12,ptt,7
臺灣,最,2.764827851987456,114.34906531773663,49.57114451073508,23,ptt,7
臺灣,有,1.2861843456747841,66.1144881759731,47.19326572745082,77,ptt,7
臺灣,大學,3.700098513088972,155.8350017210483,46.782822197667215,14,ptt,7
臺灣,地區,3.721111690837385,135.854845653793,40.42994733530162,12,ptt,7
臺灣,現在,1.9195863487292653,55.63680952367984,32.48018240086328,27,ptt,7
臺灣,第一,3.505642968255647,94.9450238688293,30.8517005699745,10,ptt,7
臺灣,目前,2.386244540242525,61.8941483181667,30.78099240111243,18,ptt,7
臺灣,政府,2.1056517630244262,53.57868229933255,29.37722283584823,21,ptt,7
臺灣,根本,2.5265183411054677,55.39495456863857,26.196780229004958,14,ptt,7
臺灣,是,0.8285301019584718,32.02584840692256,26.057739980811405,93,ptt,7
臺灣,未來,2.6488668063675056,53.45816111604555,24.178206491055164,12,ptt,7
臺灣,就是,1.4164427962956276,31.5447581939728,21.614562133996643,30,ptt,7
臺灣,疫情,2.035262435133028,35.344374198440754,19.84224181201165,15,ptt,7
臺灣,只有,2.1781458098936164,35.904489463264376,19.197880904224206,13,ptt,7
臺灣,沒有,1.3105854578176785,25.812544548962364,18.26111658717727,29,ptt,7
臺灣,[,1.9951053086610457,26.997047315449503,15.360125476300254,12,ptt,7
臺灣,問題,1.6245033670379938,22.658427242156534,14.546850353310845,16,ptt,7
臺灣,還是,1.3287942680586249,14.651611478324782,10.304192677886462,16,ptt,7
臺灣,如果,1.269092323292988,11.621256814618013,8.319601516613133,14,ptt,7
臺灣,這種,1.5423755193102513,12.63157763102957,8.31946836056008,10,ptt,7
臺灣,被,0.894771985096106,10.406836510077717,8.29920583847289,26,ptt,7
臺灣,政治,1.5157529959004883,12.16046251924052,8.075784000406422,10,ptt,7
臺灣,好,1.0562888251125362,9.59075028316222,7.306376107571353,17,ptt,7
臺灣,就,0.5920857853151249,6.7302543844345495,5.824101196006346,39,ptt,7
臺灣,這個,1.1844477639305986,7.886932639219476,5.788463579948035,11,ptt,7
臺灣,應該,1.1568563786576578,7.50468421322744,5.552501478774211,11,ptt,7
臺灣,跟,0.7721068402495695,5.909710695006192,4.873096438098436,20,ptt,7
臺灣,對,0.8142210952288667,5.268755596916804,4.294664522826375,16,ptt,7
臺灣,不,0.5425755555975251,4.478095518238482,3.9245605224065834,31,ptt,7
臺灣,),0.6205671716619544,3.2173179977460036,2.7621506460635032,17,ptt,7
臺灣,真的,0.7782341150387609,3.2997783292055094,2.7158227204372096,11,ptt,7
臺灣,沒,0.5916058810511313,2.059814131534682,1.7816699899377255,12,ptt,7
臺灣,可以,0.5076593138541518,1.7636911781353901,1.559106243368193,14,ptt,7
臺灣,也,0.25766832254786215,1.1643142685331258,1.0958438131309194,36,ptt,7
臺灣,後,0.4084293932006177,0.8934266376343875,0.8098999618384957,11,ptt,7
臺灣,在,0.18544299700181333,0.7036771132736738,0.6739223868749775,42,ptt,7
臺灣,很,0.21822324926895145,0.30016867644097345,0.2851550920259234,13,ptt,7
臺灣,與,0.056505853325188926,0.015448803672941797,0.015248515259691842,10,ptt,7
臺灣,嗎,-0.0027715194459844604,-3.71641811827824e-05,-3.718784395969482e-05,10,ptt,7
臺灣,」,-0.36864296192094387,-1.3265072825059827,-1.4380908724745254,20,ptt,7
臺灣,都,-0.5430054130141195,-2.6070179994496643,-2.9291962433987386,18,ptt,7
臺灣,？,-0.760668444078964,-3.7336796709312403,-4.377706489844169,13,ptt,7
臺灣,了,-1.0070539740673388,-9.24652343972672,-11.337430352294696,18,ptt,7
臺灣,、,-1.0257728862269222,-10.147023305569936,-12.481584616966295,19,ptt,7
臺灣,。,-0.9837385267970274,-16.24423966581627,-19.8131199609723,33,ptt,7
臺灣,，,-1.0051394717666924,-69.76718939905129,-84.74657670091756,130,ptt,7
對,中國,3.9576439075426726,764.5994013277403,205.39610930798568,56,ptt,7
跟,中國,3.51313009945668,505.9544215622671,163.6272565464334,53,ptt,7
是,中國,2.147208508729661,247.4489279254092,134.57353572454159,92,ptt,7
在,中國,2.192991489278988,188.81482866815247,100.81126868966359,67,ptt,7
與,中國,3.240612511845721,273.1506126190487,98.42295389635197,36,ptt,7
一個,中國,3.0806655284196522,178.254924459065,68.3372213298467,27,ptt,7
讓,中國,2.9927367589202465,164.91863411391878,65.41602425772689,27,ptt,7
向,中國,3.931129183325004,160.21373111697054,43.350177592154125,12,ptt,7
